SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,DAY_OF_CONSOM,CONSOM_PER_DAY,BILLS,STD
0001BB,2018-01-01,2018-01-31,2447,"316,46",30,,35,
0001BB,2018-02-01,2018-02-28,2211,"286,82",27,,35,
0001BB,2018-03-01,2018-03-31,2450,"317,32",30,,35,
0001BB,2018-04-01,2018-04-30,2431,"315,00",29,,35,
0001BB,2018-05-01,2018-05-31,2574,"333,37",30,,35,
0001BB,2018-06-01,2018-06-30,2830,"365,27",29,,35,
0001BB,2018-07-01,2018-07-31,3028,"390,39",30,,35,
0001BB,2018-08-01,2018-08-31,3053,"393,99",30,,35,
0001BB,2018-09-01,2018-09-30,2915,"378,35",29,,35,
0001BB,2018-10-01,2018-10-31,2986,"387,05",30,,35,
0001BB,2018-11-01,2018-11-30,2871,"372,47",29,,35,
0001BB,2018-12-01,2018-12-31,3086,"399,30",30,,35,
0001BB,2019-01-01,2019-01-31,3094,"381,40",30,,35,
0001BB,2019-02-01,2019-02-28,2767,"345,87",27,,35,
0001BB,2019-03-01,2019-03-31,3059,"378,18",30,,35,
0001BB,2019-04-01,2019-04-30,2761,"340,84",29,,35,
0001BB,2019-05-01,2019-05-31,2844,"349,26",30,,35,
0001BB,2019-06-01,2019-06-30,3009,"369,19",29,,35,
0001BB,2019-07-01,2019-07-31,3016,"371,20",30,,35,
0001BB,2019-08-01,2019-08-31,3089,"380,42",30,,35,
0001BB,2019-09-01,2019-09-30,2914,"361,36",29,,35,
0001BB,2019-10-01,2019-10-31,2963,"366,70",30,,35,
0001BB,2019-11-01,2019-11-30,2797,"345,89",29,,35,
0001BB,2019-12-01,2019-12-31,2859,"353,08",30,,35,
0001BB,2020-01-01,2020-01-31,2863,"414,93",30,,35,
0001BB,2020-02-01,2020-02-29,2663,"387,22",28,,35,
0001BB,2020-03-01,2020-03-31,2759,"403,25",30,,35,
0001BB,2020-04-01,2020-04-30,2680,"390,79",29,,35,
0001BB,2020-05-01,2020-05-31,2797,"407,48",30,,35,
0001BB,2020-06-01,2020-06-30,2796,"407,77",29,,35,
0001BB,2020-07-01,2020-07-31,2952,"429,09",30,,35,
0001BB,2020-08-01,2020-08-31,3014,"435,98",30,,35,
0001BB,2020-09-01,2020-09-30,2857,"411,97",29,,35,
0001BB,2020-10-01,2020-10-31,2905,"413,41",30,,35,
0001BB,2020-11-01,2020-11-30,2755,"383,02",29,,35,
0001BR,2018-01-01,2018-01-31,2438,"266,43",30,,35,
0001BR,2018-02-01,2018-02-28,2211,"242,33",27,,35,
0001BR,2018-03-01,2018-03-31,2453,"267,95",30,,35,
0001BR,2018-04-01,2018-04-30,2414,"263,78",29,,35,
0001BR,2018-05-01,2018-05-31,2517,"274,62",30,,35,
0001BR,2018-06-01,2018-06-30,2461,"268,63",29,,35,
0001BR,2018-07-01,2018-07-31,2560,"279,26",30,,35,
0001BR,2018-08-01,2018-08-31,2597,"283,07",30,,35,
0001BR,2018-09-01,2018-09-30,2436,"267,99",29,,35,
0001BR,2018-10-01,2018-10-31,2497,"274,50",30,,35,
0001BR,2018-11-01,2018-11-30,2397,"263,82",29,,35,
0001BR,2018-12-01,2018-12-31,2452,"269,69",30,,35,
0001BR,2019-01-01,2019-01-31,2460,"264,03",30,,35,
0001BR,2019-02-01,2019-02-28,2229,"239,96",27,,35,
0001BR,2019-03-01,2019-03-31,2475,"265,56",30,,35,
0001BR,2019-04-01,2019-04-30,2410,"258,76",29,,35,
0001BR,2019-05-01,2019-05-31,2508,"268,92",30,,35,
0001BR,2019-06-01,2019-06-30,2529,"270,94",29,,35,
0001BR,2019-07-01,2019-07-31,2593,"277,63",30,,35,
0001BR,2019-08-01,2019-08-31,2603,"278,60",30,,35,
0001BR,2019-09-01,2019-09-30,2595,"277,20",29,,35,
0001BR,2019-10-01,2019-10-31,2708,"288,79",30,,35,
0001BR,2019-11-01,2019-11-30,2595,"277,07",29,,35,
0001BR,2019-12-01,2019-12-31,2648,"282,57",30,,35,
0001BR,2020-01-01,2020-01-31,2600,"330,81",30,,35,
0001BR,2020-02-01,2020-02-29,2445,"311,57",28,,35,
0001BR,2020-03-01,2020-03-31,2609,"330,32",30,,35,
0001BR,2020-04-01,2020-04-30,2629,"332,70",29,,35,
0001BR,2020-05-01,2020-05-31,2735,"345,77",30,,35,
0001BR,2020-06-01,2020-06-30,2687,"339,78",29,,35,
0001BR,2020-07-01,2020-07-31,2854,"360,33",30,,35,
0001BR,2020-08-01,2020-08-31,2886,"364,21",30,,35,
0001BR,2020-09-01,2020-09-30,2761,"348,79",29,,35,
0001BR,2020-10-01,2020-10-31,2802,"353,90",30,,35,
0001BR,2020-11-01,2020-11-30,2677,"338,44",29,,35,
0001KO,2018-01-01,2018-01-31,2179,"268,53",30,,35,
0001KO,2018-02-01,2018-02-28,1971,"243,47",27,,35,
0001KO,2018-03-01,2018-03-31,2191,"269,98",30,,35,
0001KO,2018-04-01,2018-04-30,2370,"291,55",29,,35,
0001KO,2018-05-01,2018-05-31,2647,"324,92",30,,35,
0001KO,2018-06-01,2018-06-30,2634,"323,35",29,,35,
0001KO,2018-07-01,2018-07-31,2799,"343,43",30,,35,
0001KO,2018-08-01,2018-08-31,2908,"356,57",30,,35,
0001KO,2018-09-01,2018-09-30,2483,"307,29",29,,35,
0001KO,2018-10-01,2018-10-31,2297,"284,72",30,,35,
0001KO,2018-11-01,2018-11-30,2130,"264,46",29,,35,
0001KO,2018-12-01,2018-12-31,2489,"308,02",30,,35,
0001KO,2019-01-01,2019-01-31,2679,"364,03",30,,35,
0001KO,2019-02-01,2019-02-28,2429,"330,63",27,,35,
0001KO,2019-03-01,2019-03-31,2648,"359,89",30,,35,
0001KO,2019-04-01,2019-04-30,2478,"337,18",29,,35,
0001KO,2019-05-01,2019-05-31,2535,"344,79",30,,35,
0001KO,2019-06-01,2019-06-30,2884,"391,43",29,,35,
0001KO,2019-07-01,2019-07-31,2872,"389,82",30,,35,
0001KO,2019-08-01,2019-08-31,2978,"403,99",30,,35,
0001KO,2019-09-01,2019-09-30,2529,"343,99",29,,35,
0001KO,2019-10-01,2019-10-31,2487,"338,38",30,,35,
0001KO,2019-11-01,2019-11-30,2384,"324,62",29,,35,
0001KO,2019-12-01,2019-12-31,2463,"335,17",30,,35,
0001KO,2020-01-01,2020-01-31,2454,"331,90",30,,35,
0001KO,2020-02-01,2020-02-29,2377,"321,70",28,,35,
0001KO,2020-03-01,2020-03-31,2596,"350,71",30,,35,
0001KO,2020-04-01,2020-04-30,2675,"365,40",29,,35,
0001KO,2020-05-01,2020-05-31,2781,"375,22",30,,35,
0001KO,2020-06-01,2020-06-30,2989,"402,77",29,,35,
0001KO,2020-07-01,2020-07-31,3322,"446,89",30,,35,
0001KO,2020-08-01,2020-08-31,3109,"418,67",30,,35,
0001KO,2020-09-01,2020-09-30,2911,"392,44",29,,35,
0001KO,2020-10-01,2020-10-31,2747,"370,72",30,,35,
0001KO,2020-11-01,2020-11-30,2625,"354,55",29,,35,
0002BB,2018-01-01,2018-01-31,2376,"310,46",30,,35,
0002BB,2018-02-01,2018-02-28,2160,"283,07",27,,35,
0002BB,2018-03-01,2018-03-31,2390,"313,01",30,,35,
0002BB,2018-04-01,2018-04-30,2378,"311,80",29,,35,
0002BB,2018-05-01,2018-05-31,2529,"330,93",30,,35,
0002BB,2018-06-01,2018-06-30,2790,"363,65",29,,35,
0002BB,2018-07-01,2018-07-31,2988,"388,77",30,,35,
0002BB,2018-08-01,2018-08-31,3019,"393,19",30,,35,
0002BB,2018-09-01,2018-09-30,2873,"376,62",29,,35,
0002BB,2018-10-01,2018-10-31,2940,"384,79",30,,35,
0002BB,2018-11-01,2018-11-30,2821,"369,46",29,,35,
0002BB,2018-12-01,2018-12-31,3029,"395,45",30,,35,
0002BB,2019-01-01,2019-01-31,3033,"378,02",30,,35,
0002BB,2019-02-01,2019-02-28,2684,"339,51",27,,35,
0002BB,2019-03-01,2019-03-31,3008,"376,16",30,,35,
0002BB,2019-04-01,2019-04-30,2663,"332,01",29,,35,
0002BB,2019-05-01,2019-05-31,2741,"339,86",30,,35,
0002BB,2019-06-01,2019-06-30,2952,"364,23",29,,35,
0002BB,2019-07-01,2019-07-31,2914,"363,68",30,,35,
0002BB,2019-08-01,2019-08-31,2965,"368,84",30,,35,
0002BB,2019-09-01,2019-09-30,2819,"352,21",29,,35,
0002BB,2019-10-01,2019-10-31,2927,"364,86",30,,35,
0002BB,2019-11-01,2019-11-30,2773,"346,35",29,,35,
0002BB,2019-12-01,2019-12-31,2822,"351,90",30,,35,
0002BB,2020-01-01,2020-01-31,2830,"406,02",30,,35,
0002BB,2020-02-01,2020-02-29,2625,"378,86",28,,35,
0002BB,2020-03-01,2020-03-31,2734,"396,33",30,,35,
0002BB,2020-04-01,2020-04-30,2644,"382,45",29,,35,
0002BB,2020-05-01,2020-05-31,2753,"397,69",30,,35,
0002BB,2020-06-01,2020-06-30,2763,"399,57",29,,35,
0002BB,2020-07-01,2020-07-31,2904,"418,43",30,,35,
0002BB,2020-08-01,2020-08-31,2962,"425,38",30,,35,
0002BB,2020-09-01,2020-09-30,2828,"406,82",29,,35,
0002BB,2020-10-01,2020-10-31,2875,"412,79",30,,35,
0002BB,2020-11-01,2020-11-30,2739,"381,14",29,,35,
0002BR,2018-01-01,2018-01-31,2187,"239,96",30,,35,
0002BR,2018-02-01,2018-02-28,1985,"218,51",27,,35,
0002BR,2018-03-01,2018-03-31,2209,"242,16",30,,35,
0002BR,2018-04-01,2018-04-30,2151,"235,47",29,,35,
0002BR,2018-05-01,2018-05-31,2251,"245,79",30,,35,
0002BR,2018-06-01,2018-06-30,2207,"241,00",29,,35,
0002BR,2018-07-01,2018-07-31,2290,"249,83",30,,35,
0002BR,2018-08-01,2018-08-31,2316,"252,45",30,,35,
0002BR,2018-09-01,2018-09-30,2172,"239,10",29,,35,
0002BR,2018-10-01,2018-10-31,2216,"244,03",30,,35,
0002BR,2018-11-01,2018-11-30,2313,"254,38",29,,35,
0002BR,2018-12-01,2018-12-31,2659,"290,96",30,,35,
0002BR,2019-01-01,2019-01-31,2662,"284,26",30,,35,
0002BR,2019-02-01,2019-02-28,2409,"257,94",27,,35,
0002BR,2019-03-01,2019-03-31,2707,"288,61",30,,35,
0002BR,2019-04-01,2019-04-30,2624,"279,83",29,,35,
0002BR,2019-05-01,2019-05-31,2715,"289,18",30,,35,
0002BR,2019-06-01,2019-06-30,2741,"291,44",29,,35,
0002BR,2019-07-01,2019-07-31,2812,"298,72",30,,35,
0002BR,2019-08-01,2019-08-31,2537,"269,82",30,,35,
0002BR,2019-09-01,2019-09-30,2414,"257,19",29,,35,
0002BR,2019-10-01,2019-10-31,2489,"265,07",30,,35,
0002BR,2019-11-01,2019-11-30,2410,"257,13",29,,35,
0002BR,2019-12-01,2019-12-31,2493,"265,86",30,,35,
